,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,4xnquYMNiJcUvcrX4Mery6,Distante do Seu Mundo,Tá Na Mente,Distante do Seu Mundo,1x7Y5zQOvhROVPgy73689r,58,211720,False,0.624,0.722,6,-5.572,0,0.0413,0.462,0,0.143,0.943,75.056,4
1,1jou7QLQZScvOWmwa8mOel,Daria Tudo - Ao Vivo,Tá Na Mente,Daria Tudo (Ao Vivo),1x7Y5zQOvhROVPgy73689r,38,174301,False,0.555,0.693,0,-5.742,0,0.0403,0.55,0,0.214,0.603,135.943,4
2,1Y7ShD0kGmHPwJTWOuBlHK,Dorme com Deus / Fica - Ao Vivo,Tá Na Mente,Numanice #2 (Ao Vivo),1x7Y5zQOvhROVPgy73689r,57,231283,False,0.33,0.781,1,-6.969,1,0.0543,0.733,0,0.931,0.555,156.165,4
3,6wPk9Fo3z4JSxX2GNnankh,Fica,Tá Na Mente,Perseverança,1x7Y5zQOvhROVPgy73689r,55,238906,False,0.577,0.673,4,-5.321,0,0.0428,0.569,0,0.163,0.481,145.987,4
4,763Rpro4fneyDakqoD0TWH,Traição / Refém / Me Assume ou Me Esquece - Ao Vivo,Tá Na Mente,Encontrin 2 (Ao Vivo),1x7Y5zQOvhROVPgy73689r,46,317980,False,0.517,0.778,4,-6.092,0,0.108,0.765,0,0.395,0.727,167.951,4
5,29x19EWLWMB1sn8WD5iynZ,Dorme Com Deus - Ao Vivo,Tá Na Mente,Dorme Com Deus (Ao Vivo),1x7Y5zQOvhROVPgy73689r,53,215554,False,0.598,0.711,1,-6.408,1,0.052,0.594,0,0.9,0.607,145.844,4
6,47V2nwtz2ktnpJen0MKUtM,Vida Que Segue,Tá Na Mente,Perseverança,1x7Y5zQOvhROVPgy73689r,52,226160,False,0.569,0.811,2,-4.989,1,0.0467,0.455,0,0.117,0.628,143.899,4
7,4DjVsZu3pmVj19nLsnYJvs,Não É pra Terminar,Tá Na Mente,Perseverança,1x7Y5zQOvhROVPgy73689r,52,193493,False,0.658,0.686,0,-6.506,1,0.0385,0.636,0,0.144,0.804,143.88,4
8,4XLQVSiW2koz505pk6J3or,Desigual - Ao Vivo,Tá Na Mente,Desigual (Ao Vivo),1x7Y5zQOvhROVPgy73689r,52,213670,False,0.543,0.738,9,-7.16,1,0.0416,0.733,0,0.345,0.809,144.007,4
9,61tV11lP3k4jmH6DNiDOL7,Desigual,Tá Na Mente,Novos Tempos,1x7Y5zQOvhROVPgy73689r,52,213746,False,0.7,0.601,9,-8.37,1,0.0396,0.689,0,0.199,0.964,143.959,4
10,7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Clairo,Immunity,3l0CmX0FuQjFxr8SK7Vqag,81,188386,False,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
11,3zksbXteOCeSusJ5Xltr3t,Bubble Gum,Clairo,Bubble Gum,3l0CmX0FuQjFxr8SK7Vqag,79,175960,False,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97,3
12,6UFivO2zqqPFPoQYsEMuCc,Bags,Clairo,Immunity,3l0CmX0FuQjFxr8SK7Vqag,77,260519,False,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
13,0tMMPZEt6Gyrl9FI8zSicm,Glue Song (feat. Clairo),Clairo,Glue Song (feat. Clairo),3l0CmX0FuQjFxr8SK7Vqag,77,135066,False,0.621,0.393,1,-9.553,1,0.0275,0.778,0.00703,0.104,0.53,113.925,3
14,1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,Clairo,Flaming Hot Cheetos,3l0CmX0FuQjFxr8SK7Vqag,76,123884,False,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
15,0KyAGiNGUytG5JLxJu4F6l,Pretty Girl,Clairo,Pretty Girl,3l0CmX0FuQjFxr8SK7Vqag,74,178352,False,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
16,5mIOsPuQdXchVY0jB5NO9Q,4EVER,Clairo,4EVER,3l0CmX0FuQjFxr8SK7Vqag,72,159595,False,0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331,4
17,0HAqq2GcQKyi3s87GuN7jU,Amoeba,Clairo,Sling,3l0CmX0FuQjFxr8SK7Vqag,72,228922,False,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,4
18,7qwt4xUIqQWCu1DJf96g2k,Hello?,Clairo,diary 001,3l0CmX0FuQjFxr8SK7Vqag,69,135016,False,0.839,0.473,10,-7.835,0,0.0607,0.641,0.000459,0.0939,0.0644,98.732,4
19,0KIpuVYhKUUUpjo6H5NvBY,After Midnight (feat. Clairo),Clairo,After Midnight (feat. Clairo),3l0CmX0FuQjFxr8SK7Vqag,69,188000,False,0.639,0.82,11,-5.986,1,0.0322,0.0153,0.00405,0.309,0.667,100.013,4
20,5F8ffc8KWKNawllr5WsW0r,Surtada - Remix Brega Funk,OIK,Surtada (Remix Brega Funk),1B5n6jsxvFldc6Nq8Wx8VJ,62,152783,False,0.832,0.55,5,-7.026,0,0.0587,0.249,8.17e-06,0.182,0.881,154.064,4
21,2fEgPCDD0qRvZeVrY381EW,Pedaço de Mim,OIK,Pedaço de Mim,1B5n6jsxvFldc6Nq8Wx8VJ,61,202318,False,0.623,0.629,7,-5.26,1,0.2,0.595,0,0.0894,0.653,94.55,5
22,58rwqKNbzlIBOQkdRxne8H,Tudo ou nada,OIK,Me Espera,1B5n6jsxvFldc6Nq8Wx8VJ,60,187428,False,0.789,0.49,1,-8.267,0,0.508,0.647,1.4e-06,0.101,0.869,126.092,4
23,61vDGoB9k3ximR5YNzjmBc,Surtada,OIK,Surtada,1B5n6jsxvFldc6Nq8Wx8VJ,47,163246,True,0.514,0.469,5,-9.179,0,0.581,0.235,0,0.252,0.764,81.722,4
24,450ngaSmjQMdJFVzCADNQB,Surtada - Versão Funk,OIK,Surtada (Versão Funk),1B5n6jsxvFldc6Nq8Wx8VJ,43,123000,True,0.687,0.861,0,-1.932,0,0.56,0.376,9.92e-06,0.0555,0.485,105.031,5
25,0ju0BvQYlAdWXgfbvMthrb,Taca o Bumbum (Papatracks#6) [feat. L7NNON],OIK,Taca o Bumbum (Papatracks#6) [feat. L7NNON],1B5n6jsxvFldc6Nq8Wx8VJ,42,211428,False,0.958,0.494,2,-7.45,1,0.274,0.19,4.86e-06,0.0545,0.622,126.045,4
26,0Fs2PMeGviyCeSGuNRsLfA,Labirinto,OIK,"Rock Danger, Vol. 1",1B5n6jsxvFldc6Nq8Wx8VJ,41,252240,True,0.834,0.652,0,-5.037,0,0.28,0.474,0,0.161,0.656,102.075,4
27,1C9ZpyJ0NXXICEpl3F2LnZ,Jogando pra Tropa (Papatracks #5),OIK,Jogando pra Tropa (Papatracks #5),1B5n6jsxvFldc6Nq8Wx8VJ,41,192786,False,0.955,0.404,8,-10.507,0,0.271,0.535,1.41e-06,0.114,0.893,121.943,4
28,3KArCRSFdHcVxN0z7tlX0F,Cúmplice (Papasessions #4),OIK,Cúmplice (Papasessions #4),1B5n6jsxvFldc6Nq8Wx8VJ,36,221613,False,0.497,0.415,11,-9.388,0,0.167,0.775,0,0.143,0.806,89.663,3
29,4qPflZ7NpDbWLUhDvSFlsX,Ela Só Pensa em Chapar (feat. L7NNON),OIK,Ela Só Pensa em Chapar (feat. L7NNON),1B5n6jsxvFldc6Nq8Wx8VJ,33,198709,False,0.849,0.586,6,-6.407,1,0.198,0.692,0,0.15,0.884,92.967,4
30,4qO3WITv7447OvVUAdJjzM,Espírito Santo,Fernanda Brum,Quebrantado Coração,0ercYDYc6IMdLiiBfMwId8,62,259691,False,0.516,0.158,7,-11.866,1,0.0343,0.882,0,0.117,0.263,175.305,4
31,1kLk2OUiRwaZa5zJgCjO6H,Onde o Fogo Não Apaga - Ao Vivo,Fernanda Brum,Onde o Fogo Não Apaga (Ao Vivo),0ercYDYc6IMdLiiBfMwId8,47,416842,False,0.333,0.672,1,-8.06,1,0.048,0.043,1.16e-05,0.696,0.23,132.988,4
32,0Y9nHU2Fhl76LHbRRmNQ6X,O Que Sua Glória Fez Comigo,Fernanda Brum,Da Eternidade,0ercYDYc6IMdLiiBfMwId8,56,399243,False,0.279,0.597,2,-6.269,0,0.0398,0.405,0,0.697,0.365,140.192,4
