,track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
476,2Hqbw5S0iPCAwhTlS9vP11,I Shot Qupid,YoungBoy Never Broke Again,Richest Opp,57,148732,True,0.615,0.739,4,-6.465,0,0.168,0.534,0.0,0.124,0.362,142.226,4
477,2G1Yd0woSbvmaHaGxy8nWW,Chopstick (feat. Ten),YoungBoy Never Broke Again,Richest Opp,57,176885,True,0.691,0.681,8,-5.416,1,0.373,0.0178,0.0,0.106,0.452,151.953,4
478,3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,Sam Smith,Gloria,82,229604,False,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,4
479,2lW1lJSLatkcHxwDdCiSTB,It Can't Be,Jack Harlow,Jackman.,73,139416,False,0.789,0.706,8,-5.568,1,0.069,0.012,0.0,0.0982,0.396,116.833,4
480,4IJsVXbSeGPUrgwpVoHmlg,The Planet,BTS,The Planet,82,178156,False,0.665,0.848,0,-3.619,1,0.0708,0.000482,0.0,0.2,0.687,119.986,4
481,1NSAKAzZ6COMuXtJpv1NOU,Slimes Go Where I Go,YoungBoy Never Broke Again,Richest Opp,56,176687,True,0.743,0.709,10,-5.379,1,0.232,0.215,0.0,0.366,0.568,81.468,4
482,4aJzxp3gimtAdgJn3DL776,Mami Chula,Jhayco,Mami Chula,84,220600,False,0.796,0.701,7,-3.599,0,0.0447,0.215,0.0,0.0946,0.325,119.986,4
483,26J3f0d3ZuN7g66xBdey8o,Spark,Ed Sheeran,- (Deluxe),74,214846,False,0.56,0.616,0,-7.523,0,0.032,0.776,0.000334,0.0901,0.399,172.031,4
484,33MnBkmn4aV4AbUQS17eYU,That's Why We Fight (feat. Koe Wetzel),Ella Langley,That's Why We Fight (feat. Koe Wetzel),69,163973,False,0.362,0.841,5,-3.269,0,0.121,0.0324,0.0,0.212,0.362,205.95,4
485,2JVHzNBq01Mf4pmSDagtPA,Quien Es El?,Eslabon Armado,DESVELADO,73,230443,False,0.57,0.614,6,-7.553,1,0.0322,0.0574,0.0,0.11,0.398,170.174,3
486,5ya0TmUQw2wHMkq36rPsnd,World on Fire,Nate Smith,NATE SMITH (DELUXE),71,189986,False,0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,4
487,0Iozrbed8spxoBnmtBMshO,WANDA,Quevedo,DONDE QUIERO ESTAR,87,160909,False,0.724,0.631,4,-4.42,0,0.0686,0.249,0.0,0.213,0.957,176.076,4
488,6BOP0cv1eeXcvi1oE8bDVZ,Standing Room Only,Tim McGraw,Standing Room Only,70,226090,False,0.475,0.789,1,-6.124,1,0.038,0.17,0.0,0.147,0.485,155.227,4
489,1RaF9xwakfao1RRknWyYB5,4runner,Brenn!,4runner,76,265453,False,0.792,0.518,1,-10.519,1,0.0847,0.326,0.000182,0.406,0.512,128.025,4
490,6DLbBlGIOjjEj0dNN25zhZ,Tennessee Orange,Megan Moroney,Lucky,71,223119,False,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3
491,3o3bRIOKDwGOdqL9HBUNrO,Love Me Like This,NMIXX,expérgo,80,188718,False,0.803,0.805,8,-4.167,0,0.064,0.00805,0.0,0.0641,0.652,97.031,4
492,1PvhuffRIPgvOYsa6tPEkr,MAMA,NF,HOPE,74,208213,False,0.547,0.748,11,-3.848,1,0.414,0.284,0.0,0.113,0.0876,89.386,4
493,2KcQ0PbPj0O3P48B9YX7iN,Peaches & Eggplants (feat. 21 Savage),Young Nudy,Gumbo,70,203813,True,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,4
494,4hbU7BVioG3WnoRNEy5YUf,Kitsch,IVE,Kitsch,81,195440,False,0.8,0.792,11,-4.953,1,0.0529,0.0119,1.11e-06,0.0495,0.455,102.0,4
495,1DSwFkEe28GSFmdIK92OFX,Vega,Ed Sheeran,- (Deluxe),74,178114,False,0.743,0.405,10,-7.901,1,0.0416,0.803,0.0,0.134,0.353,124.041,4
496,5owS9iWWGd6mDlFjUFzBsw,Creek Will Rise,Conner Smith,Creek Will Rise,70,169293,False,0.423,0.887,1,-2.97,1,0.0537,0.0362,0.0,0.243,0.892,169.975,4
497,6fMM4VMig1pSp0Pd1paP0N,Gang Gang Gang,Jack Harlow,Jackman.,73,169514,True,0.596,0.584,11,-6.585,0,0.332,0.489,0.0,0.115,0.238,85.65,4
498,2VFMnr8Sm4tDEPUgXum30G,Fell In Love,Marshmello,Fell In Love,73,121283,False,0.739,0.456,1,-9.755,1,0.0545,0.121,0.000151,0.107,0.622,150.008,4
499,1mW1e6QAGPnhMbJoDTCLS3,"Diablo, Qué Chimba",Maluma,"Diablo, Qué Chimba",80,232222,True,0.885,0.698,7,-3.338,1,0.0664,0.26,0.000114,0.0528,0.505,108.032,4
500,5Hfnps0jaWFpYg55WOPexG,Alone,Jimin,FACE,80,211250,False,0.593,0.446,0,-7.776,0,0.0266,0.283,0.0,0.119,0.168,102.057,4
501,2V875q2TKxJrT3jR4TyKEE,fly sht,Destroy Lonely,If Looks Could Kill,70,210240,True,0.795,0.603,8,-6.337,0,0.143,0.00169,0.0,0.14,0.376,128.097,4
