,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,MC Rogerinho,Pode Crê (Ao Vivo),5JbQpbeFaKfuZVFzKwaawP,83,163584,True,0.85,0.655,2,-2.891,0,0.0298,0.211,0,0.952,0.797,106.031,4
1,3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,MC Rogerinho,Tchuco Nela,5JbQpbeFaKfuZVFzKwaawP,70,170880,True,0.802,0.727,9,-4.968,0,0.0307,0.413,0,0.0713,0.837,125.038,4
2,0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,MC Rogerinho,Botadinha Saliente,5JbQpbeFaKfuZVFzKwaawP,67,158000,False,0.985,0.698,0,-2.531,1,0.0341,0.142,0,0.321,0.914,119.959,4
3,6sJH1B0qL6S3XoAzaJe4wd,Vuco Vuco,MC Rogerinho,Vuco Vuco,5JbQpbeFaKfuZVFzKwaawP,61,114289,True,0.926,0.629,9,-5.155,0,0.0449,0.546,0.0199,0.123,0.756,125.035,4
4,3jmBJjqYLJocP8HziRXDMn,085 RMX,MC Rogerinho,085 RMX,5JbQpbeFaKfuZVFzKwaawP,61,163102,False,0.838,0.535,2,-4.714,0,0.0426,0.365,0,0.902,0.821,106.044,4
5,7yqVMOCUoFUKc9hwLCvgDI,Joga a Bunda,MC Rogerinho,Joga a Bunda,5JbQpbeFaKfuZVFzKwaawP,59,125749,False,0.937,0.475,0,-3.91,1,0.0607,0.243,0.000248,0.107,0.785,120.038,4
6,62d4BfCTUHdOsARRETHLDz,Mete a Louca,MC Rogerinho,Mete a Louca,5JbQpbeFaKfuZVFzKwaawP,58,179893,False,0.774,0.771,3,-2.949,0,0.0373,0.197,5.67e-05,0.0559,0.752,116.004,4
7,5kJZPvMh6X1MFytCaqVvUb,Vai Novinha,MC Rogerinho,Som de Paredão,5JbQpbeFaKfuZVFzKwaawP,56,196562,False,0.695,0.814,9,-5.069,0,0.0336,0.0799,4.17e-05,0.162,0.772,125.008,4
8,0Xav1EeY00uSr2nDVp4jGA,Só Você,MC Rogerinho,Na Pressão,5JbQpbeFaKfuZVFzKwaawP,57,187141,False,0.834,0.522,0,-4.433,1,0.0478,0.023,0,0.663,0.892,129.96,4
9,0NJNa3AR8tnWMJVHKXiCmZ,Ritmo Lento,MC Rogerinho,Ritmo Lento,5JbQpbeFaKfuZVFzKwaawP,56,143582,False,0.777,0.761,11,-3.797,0,0.0373,0.164,0,0.0667,0.961,129.984,4
10,6B5Nqt8DAciT2oqevzGbUc,Pilantra,Jão,Pilantra,59FrDXDVJz0EKqYg39dnT2,77,192708,False,0.704,0.825,1,-5.081,0,0.0943,0.133,0,0.0862,0.694,140.02,4
11,6EDj1nbl9wo6ivGI1t59G4,Idiota,Jão,PIRATA,59FrDXDVJz0EKqYg39dnT2,69,181626,False,0.669,0.785,4,-6.093,0,0.0421,0.0685,0,0.566,0.84,131.957,4
12,4JwwAxvprUGhrecdjSjfHN,Essa Eu Fiz Pro Nosso Amor,Jão,ANTI-HERÓI,59FrDXDVJz0EKqYg39dnT2,66,194566,False,0.822,0.39,0,-9.324,1,0.0868,0.612,0,0.11,0.625,129.895,4
13,23n4YuEtkZuALpk0wG3ZMT,Santo,Jão,PIRATA,59FrDXDVJz0EKqYg39dnT2,63,162593,False,0.646,0.594,0,-6.438,0,0.035,0.0235,0,0.185,0.558,98.946,4
14,5B1skkpiljQOQLAmANiaDa,Meninos e Meninas,Jão,PIRATA,59FrDXDVJz0EKqYg39dnT2,63,161515,False,0.629,0.718,11,-4.911,1,0.0248,0.0218,1.87e-06,0.178,0.583,147.902,4
15,5wqAUETEzXz6h54rbQ5sfr,Acontece,Jão,PIRATA,59FrDXDVJz0EKqYg39dnT2,62,161570,False,0.609,0.552,2,-6.315,0,0.0284,0.277,0,0.174,0.603,119.943,5
16,5j3p2WnU8ha4K4ybaTZ4Hx,Coringa,Jão,PIRATA,59FrDXDVJz0EKqYg39dnT2,60,187080,False,0.73,0.566,5,-5.399,0,0.0503,0.0315,0,0.191,0.497,96.952,4
17,0S86atec73KKaexn67JsDy,Imaturo,Jão,LOBOS,59FrDXDVJz0EKqYg39dnT2,61,178186,False,0.572,0.415,0,-7.934,1,0.0973,0.625,0,0.631,0.677,129.889,4
18,6rL40EhmdDeEeqS0FDZ9Ab,VSF,Jão,ANTI-HERÓI,59FrDXDVJz0EKqYg39dnT2,60,236921,True,0.802,0.605,1,-5.059,0,0.0302,0.341,0,0.647,0.827,110.018,4
19,1XVN2BVHfKUUcMH0jxSRZ5,Vou Morrer Sozinho,Jão,LOBOS,59FrDXDVJz0EKqYg39dnT2,59,174519,False,0.814,0.646,10,-5.503,1,0.0381,0.18,0,0.27,0.753,126.034,4
20,248MKXor9jroN8ZX5E0IGa,Amor de Violeiro,Eduardo Costa,Eduardo Costa - Acustico,2OUgs5INWK2UEvZ6amWiJr,66,255047,False,0.454,0.543,0,-3.662,1,0.034,0.568,0,0.276,0.636,208.5,3
21,0CBxsjOIKzZlOJBpXQsYoz,Ainda Tô Aí - Ao Vivo,Eduardo Costa,Fora da Lei (Ao Vivo),2OUgs5INWK2UEvZ6amWiJr,56,195242,False,0.682,0.712,6,-6.22,1,0.0281,0.628,0,0.826,0.778,138.056,4
22,7rhhzD1EaKiqWPuVY32xNl,Fui Dando Porrada (feat. Clayton e Romário),Eduardo Costa,Eduardo Costa na Fazenda,2OUgs5INWK2UEvZ6amWiJr,61,264394,False,0.692,0.665,7,-5.028,1,0.0321,0.462,0,0.453,0.714,119.671,4
23,4HRnqxE3ZVmpRs2n8HOVdf,Vestido de Seda - Ao Vivo,Eduardo Costa,Leonardo e Eduardo Costa no Cabaré (Ao Vivo),2OUgs5INWK2UEvZ6amWiJr,60,148586,False,0.625,0.617,8,-4.284,1,0.035,0.698,0,0.685,0.527,92.02,3
