,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,3uCg5JVHl2E6i8gFJxUjsp,Xote Dos Milagres,Falamansa,Deixa Entrar...,6uTK3YD9CT3pLx2yEfVmXk,62,266440,False,0.645,0.471,11,-9.192,0,0.0401,0.271,0,0.152,0.767,79.125,4
1,5RkPULKkPpFKkS5BnvK1t6,Oh! Chuva,Falamansa,Essa É Pra Vocês,6uTK3YD9CT3pLx2yEfVmXk,62,228080,False,0.666,0.404,1,-9.888,0,0.035,0.39,0,0.259,0.775,137.965,4
2,6AgLck54Q7UMolf5WASUEx,Rindo À Toa,Falamansa,Deixa Entrar...,6uTK3YD9CT3pLx2yEfVmXk,59,219973,False,0.618,0.563,2,-8.889,1,0.0542,0.478,0,0.0553,0.836,79.824,4
3,3QQhhSRe31x9qs1NqlOuOS,Xote da Alegria,Falamansa,Essa É Pra Vocês,6uTK3YD9CT3pLx2yEfVmXk,60,253733,False,0.7,0.491,11,-10.566,1,0.0476,0.554,0,0.144,0.779,79.968,4
4,7nMwBEAXi2WGNi2wwDU1xi,100 Anos,Falamansa,Simples Mortais,6uTK3YD9CT3pLx2yEfVmXk,56,219573,False,0.623,0.637,5,-8.657,1,0.0431,0.386,1.12e-05,0.175,0.793,82.462,4
5,38pWiLP8PB4bH7CC5Nkw3D,Quando Você Vem - Ao Vivo,Falamansa,Menos É Mais (Ao Vivo),6uTK3YD9CT3pLx2yEfVmXk,56,195325,False,0.518,0.66,1,-6.864,1,0.0757,0.652,0,0.519,0.609,93.34,4
6,7LnhsKGNWneKYeUW9r31CK,Aloha,Falamansa,Aloha,6uTK3YD9CT3pLx2yEfVmXk,54,165378,False,0.636,0.726,9,-7.555,1,0.159,0.254,0,0.409,0.658,151.972,4
7,1BSJLtXHoGQ5bneYDW57pt,Um Pouco Mais de Fé,Falamansa,Lá da Alma,6uTK3YD9CT3pLx2yEfVmXk,53,235360,False,0.639,0.597,4,-9.579,1,0.0269,0.546,0.00286,0.12,0.538,100.009,4
8,5V09QKkoP6GbDLRl5TsBUg,Som de Alceu,Falamansa,Som de Alceu,6uTK3YD9CT3pLx2yEfVmXk,51,182587,False,0.646,0.517,0,-10.86,1,0.0309,0.434,1.08e-06,0.0723,0.797,86.991,4
9,2AW1lzHTtf1lEbAalkaGXI,Amigo Velho,Falamansa,Amigo Velho,6uTK3YD9CT3pLx2yEfVmXk,51,241188,False,0.644,0.626,7,-6.723,1,0.0367,0.525,0,0.0938,0.73,140.997,4
