,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,11r84ikn6SC5N8NZWqWnoT,É o Rei do Sexo,DJ Sammer,"['funk bh', 'funk mtg']",É o Rei do Sexo,70dP66OT4eq3soksc1syUs,66,140134,True,0.696,0.516,4,-0.831,1,0.392,0.506,4.61e-05,0.103,0.749,82.607,3
1,5qgrYlUR6gLDaOPP6oszpV,Aquecimento do Anjim,DJ Sammer,"['funk bh', 'funk mtg']",Aquecimento do Anjim,70dP66OT4eq3soksc1syUs,58,163449,True,0.67,0.441,2,-6.046,1,0.372,0.808,0.00159,0.237,0.63,83.152,3
2,0IWRDveWgAomtsN9OyiwWS,É de Bandido Que Elas Gostam,DJ Sammer,"['funk bh', 'funk mtg']",É de Bandido Que Elas Gostam,70dP66OT4eq3soksc1syUs,51,172615,True,0.915,0.66,1,-0.92,1,0.31,0.713,1.88e-06,0.0834,0.742,130.008,4
3,3KIQsQc22yqQFIycqxNDRS,Uma Hora Dessa É a Melhor Que Tem,DJ Sammer,"['funk bh', 'funk mtg']",Uma Hora Dessa É a Melhor Que Tem,70dP66OT4eq3soksc1syUs,48,180922,False,0.596,0.709,8,-1.15,1,0.276,0.697,0.000139,0.277,0.429,85.222,5
4,3qem5IVOrHtvDiqTuxUx9N,Noite Mineira,DJ Sammer,"['funk bh', 'funk mtg']",Noite Mineira,70dP66OT4eq3soksc1syUs,47,127384,True,0.952,0.825,11,-2.241,1,0.268,0.342,0,0.0834,0.948,130.031,4
5,57fXjomSBkJgVRBrT6mVZm,Isso Não Se Faz,DJ Sammer,"['funk bh', 'funk mtg']",Isso Não Se Faz,70dP66OT4eq3soksc1syUs,46,136615,True,0.876,0.622,4,-2.882,1,0.138,0.489,0,0.176,0.824,130.007,4
6,3Yz0mLjtSVGyIfZc0qh8pg,Nunca Mais Eu Vou Amar Ninguém,DJ Sammer,"['funk bh', 'funk mtg']",Meu Complexo,70dP66OT4eq3soksc1syUs,45,173711,True,0.625,0.627,6,-4.527,1,0.486,0.732,0,0.0746,0.636,77.955,4
7,0nWNhSo9qRqSzAgWiMIgmQ,Ela So Tem 17,DJ Sammer,"['funk bh', 'funk mtg']",Ela So Tem 17,70dP66OT4eq3soksc1syUs,45,128769,True,0.786,0.646,11,-1.248,1,0.186,0.555,0,0.0963,0.68,162.484,5
8,7yFDQVbrpTyif9FeJ3cUjf,PILOTO DO CHEFE (MANO DO AK),DJ Sammer,"['funk bh', 'funk mtg']",PILOTO DO CHEFE (MANO DO AK),70dP66OT4eq3soksc1syUs,43,151384,True,0.631,0.506,10,-4.767,0,0.289,0.403,0,0.133,0.534,80.502,4
9,05giUOe9TQ1xBQYPRsAOtR,Uniao dos Djs 7,DJ Sammer,"['funk bh', 'funk mtg']",Uniao dos Djs 7,70dP66OT4eq3soksc1syUs,41,171293,True,0.62,0.418,7,-6.525,1,0.405,0.695,2.87e-06,0.116,0.463,84.037,5
10,6y20BV5L33R8YXM0YuI38N,No One Knows,Queens of the Stone Age,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",Songs For The Deaf,4pejUc4iciQfgdX6OKulQn,75,278746,False,0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411,4
11,0wzRcekWyVCSyPtlPOeJau,Go With The Flow,Queens of the Stone Age,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",Songs For The Deaf,4pejUc4iciQfgdX6OKulQn,72,187146,False,0.246,0.991,9,-3.903,1,0.087,0.00944,0.0753,0.867,0.415,159.39,4
12,5a8V2ZeVLj8ktvodCa1m80,Emotion Sickness,Queens of the Stone Age,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",In Times New Roman...,4pejUc4iciQfgdX6OKulQn,58,271076,True,0.477,0.448,4,-6.372,1,0.0495,0.00244,0.000507,0.715,0.679,121.882,4
