,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,3d1im1pw3WLuEty2k9XzTr,Clickbait,JHXW,[],Dos Prédios Deluxe,6DsMACWhJ5AgWLkZA2f5BV,76,161344,True,0.899,0.544,0,-6.674,0,0.32,0.391,0,0.138,0.753,119.022,4
1,42DKfPZIrpx8e2sphM1xbl,Booty Up 2,JHXW,[],Nova Moda,6DsMACWhJ5AgWLkZA2f5BV,52,139200,True,0.408,0.608,3,-6.36,0,0.285,0.191,0,0.224,0.334,89.009,1
2,4U2LehzTjVouprZ9CgjF9N,Dama de Gelo,JHXW,[],Dama de Gelo,6DsMACWhJ5AgWLkZA2f5BV,0,141951,True,0.876,0.685,6,-9.53,0,0.232,0.161,0,0.0889,0.839,82.036,4
3,2MHtGSaW12T738131nTj0d,Hino da Vitória,Cassiane,['brazilian gospel'],Com Muito Louvor,6MQhMvMTFK4nAQzoOKrwY3,63,227369,False,0.613,0.442,5,-6.095,1,0.0374,0.534,0,0.236,0.4,139.793,4
4,77QWHvsIPyV6dkkrJyuxRG,Todavia me Alegrarei (Ao Vivo),Cassiane,['brazilian gospel'],Drive In (Ao Vivo),6MQhMvMTFK4nAQzoOKrwY3,57,352064,False,0.444,0.669,4,-7.605,1,0.0425,0.343,0,0.142,0.172,132.059,4
5,0suvVjf5ZT2Pasu1cDPEVr,Com Muito Louvor,Cassiane,['brazilian gospel'],Com Muito Louvor,6MQhMvMTFK4nAQzoOKrwY3,57,305806,False,0.495,0.498,10,-8.576,1,0.035,0.687,0,0.152,0.342,74.782,4
6,57JAYiwPmU93oowUWKwrEF,Com Muito Louvor,Cassiane,['brazilian gospel'],Cassiane - Gospel Collection Ao Vivo,6MQhMvMTFK4nAQzoOKrwY3,54,382014,False,0.359,0.681,10,-5.821,1,0.0361,0.528,0,0.665,0.324,138.701,4
7,5SS4AAEBMOMVGJTlKS7Hnw,Minha Bênção,Cassiane,['brazilian gospel'],Recompensa,6MQhMvMTFK4nAQzoOKrwY3,53,260667,False,0.356,0.623,6,-3.633,1,0.0365,0.401,0,0.193,0.481,139.493,4
8,1uj6MX46NiNKG9jJeBSpCa,Oferta Agradável a Ti,Cassiane,['brazilian gospel'],Com Muito Louvor,6MQhMvMTFK4nAQzoOKrwY3,52,253794,False,0.56,0.32,3,-8.953,1,0.0282,0.912,7.5e-06,0.116,0.266,79.831,4
9,7qSzexUzL3H8Fqic0jwDDL,500 Graus,Cassiane,['brazilian gospel'],Recompensa,6MQhMvMTFK4nAQzoOKrwY3,51,325079,False,0.424,0.693,5,-3.317,0,0.106,0.61,0,0.238,0.509,174.368,4
10,5wjvv06YEBbkh86PjfXRk0,Amigo Espírito Santo,Cassiane,['brazilian gospel'],Ao Som dos Louvores,6MQhMvMTFK4nAQzoOKrwY3,51,313093,False,0.32,0.426,8,-6.652,1,0.0295,0.608,0,0.0964,0.174,136.98,4
11,4aYKmvWGWjTIgj1NMBTMja,Com Muito Louvor (Ao Vivo),Cassiane,['brazilian gospel'],O Segredo (Ao Vivo),6MQhMvMTFK4nAQzoOKrwY3,35,386420,False,0.279,0.667,10,-7.984,1,0.0547,0.652,0,0.817,0.385,140.04,4
12,5o1ZQzLi22laZKrJ2ExlPH,Identidade,Cassiane,['brazilian gospel'],Identidade,6MQhMvMTFK4nAQzoOKrwY3,50,275853,False,0.424,0.797,4,-4.256,0,0.0487,0.304,0,0.173,0.264,84.251,4
13,6Sk1mETx99njkPH3MIRTn3,Quando o sol se for,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas (Nova Versão),5AlUDdksfPP7l4Qm22MJA9,65,209173,False,0.431,0.848,11,-5.522,0,0.0457,0.000217,3.11e-05,0.0934,0.806,163.139,4
14,3P0ZKM0sJiwYl6LWAgU9YF,Olhos certos,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas (Nova Versão),5AlUDdksfPP7l4Qm22MJA9,63,262586,False,0.559,0.492,1,-8.217,0,0.0257,0.00357,0.00686,0.0769,0.143,95.073,4
15,0VuyAK8iEZkQxHfmBV6MMm,Outro lugar,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas (Nova Versão),5AlUDdksfPP7l4Qm22MJA9,62,228400,False,0.637,0.848,11,-5.968,0,0.0398,0.0037,2.59e-05,0.123,0.522,112.993,4
16,656TZu3G6rnfK9m2Y0zR6g,Você me faz tão bem,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,62,254520,False,0.391,0.797,7,-7.991,0,0.061,0.377,1.52e-05,0.755,0.369,143.605,4
17,48VksWyBFGdUYmCxg20iAN,Olhos certos,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,58,247346,False,0.526,0.546,1,-9.772,0,0.0272,0.0999,0.000352,0.719,0.097,96.033,4
18,4vYHcyZLnrlqSsY1ewDDkW,O Retorno de Saturno,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,57,231920,False,0.502,0.796,9,-7.699,1,0.0317,0.0673,5.18e-06,0.871,0.414,144.009,4
19,1wywpyTBWYRFCRhSGyRKeW,O dia que não terminou,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,55,253653,False,0.492,0.695,9,-8.631,0,0.0301,0.158,0.00016,0.982,0.203,110.034,4
20,0Bk2Vu0E3MxdMFbX3yQ75l,Só nós 2,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,55,171346,False,0.528,0.813,9,-8.018,0,0.038,0.158,0,0.913,0.564,153.982,4
21,3WtdWGFcbmVi2uKMcT4KZ2,Outro Lugar,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,55,236973,False,0.616,0.833,2,-7.932,1,0.0323,0.0392,9.77e-05,0.801,0.553,104.043,4
22,0OwkWUJHTcxJSxlprEGd9w,O Amanhã,Detonautas Roque Clube,"['brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",Detonautas Acústico,5AlUDdksfPP7l4Qm22MJA9,51,211706,False,0.563,0.562,7,-8.621,0,0.0268,0.139,0,0.145,0.314,149.984,4
23,1BoMpKPeITtg3HN9Ursz5T,Mal Sei Falar de Amor,Raffé,['trap brasileiro'],Mal Sei Falar de Amor,0BMccF4OSgl180EzdVFY9m,66,128000,False,0.743,0.549,1,-5.285,0,0.0595,0.106,0,0.0877,0.376,119.923,4
24,5YURHESoQKz81fL4IxV7NJ,INVEJOSO,Raffé,['trap brasileiro'],INVEJOSO,0BMccF4OSgl180EzdVFY9m,64,300000,True,0.627,0.551,6,-6.39,0,0.257,0.15,0,0.107,0.457,118.944,4
25,5XvbaX4eAeNkScND1tInpr,Desde Menorzin,Raffé,['trap brasileiro'],Jogo do Milhão,0BMccF4OSgl180EzdVFY9m,63,194634,True,0.576,0.54,1,-5.081,1,0.321,0.222,0,0.104,0.181,77.01,4
26,1uCasGURHhzPYiA7Hx7Rp6,Duas Doses,Raffé,['trap brasileiro'],Duas Doses,0BMccF4OSgl180EzdVFY9m,58,176326,False,0.545,0.758,8,-7.338,0,0.559,0.185,0,0.0881,0.296,98.4,4
27,3tpfnn4QoKrkzWW20UKili,Tropa do Mantém,Raffé,['trap brasileiro'],O Sábio,0BMccF4OSgl180EzdVFY9m,58,238208,True,0.508,0.648,9,-5.641,1,0.167,0.241,0,0.0989,0.653,134.107,4
28,5b9MS3By7f4PWJnCH1Aseh,Carro Bicho 2,Raffé,['trap brasileiro'],Troféu,0BMccF4OSgl180EzdVFY9m,52,164357,True,0.884,0.697,11,-6.07,1,0.338,0.637,0,0.143,0.555,130.075,4
29,2KdmPCG0fhol4dv15sXkEf,Baby,Raffé,['trap brasileiro'],Mixtape Rock Danger de Verão,0BMccF4OSgl180EzdVFY9m,50,177479,True,0.717,0.605,0,-6.389,0,0.134,0.385,0,0.118,0.635,118.965,4
30,64iH0ee2OM1cMHqlD1aDp0,Pra Valer,Raffé,['trap brasileiro'],Jogo do Milhão,0BMccF4OSgl180EzdVFY9m,49,171034,True,0.697,0.714,2,-4.447,1,0.0709,0.0402,0,0.29,0.529,87.103,4
31,6vTLifSitdCLir5e6Zr5uF,Jogo do Milhão,Raffé,['trap brasileiro'],Jogo do Milhão,0BMccF4OSgl180EzdVFY9m,48,166265,True,0.617,0.666,8,-4.657,0,0.218,0.487,0,0.156,0.626,81.85,4
32,0Aq8w6a9LKyXWZ0CxOKXGF,Olhos Vermelhos,Raffé,['trap brasileiro'],Jogo do Milhão,0BMccF4OSgl180EzdVFY9m,47,160000,True,0.883,0.679,4,-3.702,0,0.0676,0.107,0,0.103,0.498,120.082,4
33,52hskZSqoPDyBCpVNomdiO,"Meu Vaqueiro, Meu Peão - Ao Vivo",Mastruz Com Leite,"['axe', 'carimbo', 'forro']","Ao Vivo, Vol. 1",6cAXmjYOHC2R7jLrs96KTZ,58,202373,False,0.595,0.962,11,-6.977,0,0.0432,0.332,0.000247,0.45,0.95,104.791,4
34,5XdpEEcIaC9YP0691LP53j,A Praia - Ao Vivo,Mastruz Com Leite,"['axe', 'carimbo', 'forro']",Ao Vivo em Fortaleza-CE,6cAXmjYOHC2R7jLrs96KTZ,54,255664,False,0.567,0.807,11,-5.261,1,0.0485,0.0703,4.94e-05,0.661,0.656,107.965,4
35,6vx36GXKltsNm1O1mUB8Q5,Brincar de Amar - Acústico,Mastruz Com Leite,"['axe', 'carimbo', 'forro']","Acústico, Vol. 2",6cAXmjYOHC2R7jLrs96KTZ,52,203813,False,0.634,0.714,2,-5.89,1,0.0413,0.22,1.07e-05,0.075,0.891,173.526,4
36,6VIMs8QSwemMBsmwvdotjG,Olhinhos de Fogueira,Mastruz Com Leite,"['axe', 'carimbo', 'forro']",Oficial de São João,6cAXmjYOHC2R7jLrs96KTZ,52,225400,False,0.628,0.857,9,-5.43,1,0.137,0.156,0,0.156,0.664,82.431,4
37,0dQdxX6JeWfqUdlYk1BIGE,Saga de um Vaqueiro - Ao Vivo,Mastruz Com Leite,"['axe', 'carimbo', 'forro']",Ao Vivo em Fortaleza-CE,6cAXmjYOHC2R7jLrs96KTZ,52,495182,False,0.468,0.842,10,-5.326,1,0.0405,0.269,0,0.411,0.779,120.093,4
38,517HPctLHA8fncBNBmhsNW,Razões - Ao Vivo,Mastruz Com Leite,"['axe', 'carimbo', 'forro']",Ao Vivo em Fortaleza-CE,6cAXmjYOHC2R7jLrs96KTZ,52,112410,False,0.502,0.863,10,-5.291,1,0.0401,0.151,1.71e-05,0.113,0.754,107.73,4
