,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Travis Scott,"['hip hop', 'rap', 'slap house']",HEROES & VILLAINS,0Y5tJX1MQlPlqiwlOH1tJY,90,194786,True,0.571,0.549,1,-7.38,0,0.404,0.18,0,0.168,0.447,119.497,4
1,6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,"['hip hop', 'rap', 'slap house']",Birds In The Trap Sing McKnight,0Y5tJX1MQlPlqiwlOH1tJY,86,243836,True,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
2,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Travis Scott,"['hip hop', 'rap', 'slap house']",Certified Lover Boy,0Y5tJX1MQlPlqiwlOH1tJY,87,291175,True,0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,4
3,6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),Travis Scott,"['hip hop', 'rap', 'slap house']",SOS,0Y5tJX1MQlPlqiwlOH1tJY,76,239613,False,0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,4
4,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,"['hip hop', 'rap', 'slap house']",ASTROWORLD,0Y5tJX1MQlPlqiwlOH1tJY,85,312820,True,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
5,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,"['hip hop', 'rap', 'slap house']",HIGHEST IN THE ROOM,0Y5tJX1MQlPlqiwlOH1tJY,84,175720,True,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4
6,4WuOWVnAqvEQxgSRrspBgt,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Travis Scott,"['hip hop', 'rap', 'slap house']",HEROES & VILLAINS,0Y5tJX1MQlPlqiwlOH1tJY,84,207306,True,0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,4
7,4gh0ZnHzaTMT1sDga7Ek0N,sdp interlude,Travis Scott,"['hip hop', 'rap', 'slap house']",Birds In The Trap Sing McKnight,0Y5tJX1MQlPlqiwlOH1tJY,83,191622,True,0.507,0.586,0,-8.15,0,0.0586,0.599,0.0544,0.118,0.588,108.164,4
8,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,Travis Scott,"['hip hop', 'rap', 'slap house']",ASTROWORLD,0Y5tJX1MQlPlqiwlOH1tJY,82,190557,False,0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,4
9,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,Travis Scott,"['hip hop', 'rap', 'slap house']",Goosebumps (Remix),0Y5tJX1MQlPlqiwlOH1tJY,81,162802,True,0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4
