,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,"['art pop', 'dance pop', 'pop']",A Star Is Born Soundtrack,1HY2Jd0NmPuamShAr6KMms,86,215733,False,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
1,53jnnqFSRGMDB9ADrNriCA,Bloody Mary,Lady Gaga,"['art pop', 'dance pop', 'pop']",Born This Way (International Special Edition Version),1HY2Jd0NmPuamShAr6KMms,84,244760,False,0.591,0.637,9,-6.365,0,0.03,0.0107,1.95e-06,0.113,0.432,99.998,4
2,1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame,1HY2Jd0NmPuamShAr6KMms,82,237200,False,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4
3,2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,Lady Gaga,"['art pop', 'dance pop', 'pop']",A Star Is Born Soundtrack (Without Dialogue),1HY2Jd0NmPuamShAr6KMms,84,210200,False,0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,4
4,1dzQoRqT5ucxXVaAhTcT0J,Just Dance,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame,1HY2Jd0NmPuamShAr6KMms,82,241933,False,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4
5,0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame Monster (Deluxe Edition),1HY2Jd0NmPuamShAr6KMms,84,294573,True,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4
6,4TCL0qqKyqsMZml0G3M9IM,Telephone,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame Monster (Deluxe Edition),1HY2Jd0NmPuamShAr6KMms,75,220640,False,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,4
7,7F25roCtYi55JouckaayPC,Judas,Lady Gaga,"['art pop', 'dance pop', 'pop']",Born This Way (International Special Edition Version),1HY2Jd0NmPuamShAr6KMms,78,249066,False,0.664,0.934,10,-3.848,0,0.0697,0.00108,2.77e-05,0.27,0.53,130.982,4
8,7ju97lgwC2rKQ6wwsf9no9,Rain On Me (with Ariana Grande),Lady Gaga,"['art pop', 'dance pop', 'pop']",Chromatica,1HY2Jd0NmPuamShAr6KMms,77,182200,False,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,4
9,1c2hJSwcCfoPEw1su83Sw0,Hold My Hand,Lady Gaga,"['art pop', 'dance pop', 'pop']",Top Gun: Maverick (Music From The Motion Picture),1HY2Jd0NmPuamShAr6KMms,72,225280,False,0.53,0.612,7,-4.286,1,0.0331,0.0403,0,0.393,0.264,148.009,3
10,5geU4byUA1hnQofQPOsPDS,Sereia,Kizzy,['trap brasileiro'],Vida Cara,2NMYOlZHIEsSq7pp5jBjic,73,294418,True,0.651,0.661,9,-5.08,1,0.147,0.276,0,0.105,0.505,114.528,5
11,3bcduSxypEUxlM5UawQ3kD,Mitsubishi,Kizzy,['trap brasileiro'],Mitsubishi,2NMYOlZHIEsSq7pp5jBjic,48,182181,True,0.751,0.57,11,-7.017,0,0.209,0.126,0,0.101,0.705,110.021,4
