,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse,Black Holes and Revelations,12Chz98pHFMPJEknJQMWvI,79,212439,False,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,4
1,4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,The Resistance,12Chz98pHFMPJEknJQMWvI,77,304840,False,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,4
2,3skn2lauGk7Dx6bVIt5DVj,Starlight,Muse,Black Holes and Revelations,12Chz98pHFMPJEknJQMWvI,75,240213,False,0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02e-05,0.206,0.318,121.61,4
3,7xyYsOvq5Ec3P4fr6mM9fD,Hysteria,Muse,Absolution,12Chz98pHFMPJEknJQMWvI,75,227440,False,0.412,0.92,9,-4.852,0,0.0575,0.000456,0.0026,0.11,0.455,93.162,4
4,7ouMYWpwJ422jRcDASZB7P,Knights of Cydonia,Muse,Black Holes and Revelations,12Chz98pHFMPJEknJQMWvI,71,366213,False,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,4
5,2takcwOaAZWiXQijPHIx7B,Time is Running Out,Muse,Absolution,12Chz98pHFMPJEknJQMWvI,71,237039,False,0.585,0.842,9,-5.883,0,0.0556,0.00242,0.00686,0.0866,0.428,118.211,4
6,429MqIq5nGH32feyRZHunv,Plug in Baby,Muse,Origin of Symmetry,12Chz98pHFMPJEknJQMWvI,56,218000,False,0.408,0.965,2,-4.232,1,0.05,6.94e-06,0.000402,0.11,0.349,136.018,4
7,0c4IEciLCDdXEhhKxj4ThA,Madness,Muse,The 2nd Law,12Chz98pHFMPJEknJQMWvI,69,281040,False,0.502,0.417,10,-7.665,1,0.0718,0.127,0.00419,0.106,0.218,180.301,4
8,383QXk8nb2YrARMUwDdjQS,Psycho,Muse,Drones,12Chz98pHFMPJEknJQMWvI,69,316717,True,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02,4
9,0It6VJoMAare1zdV2wxqZq,Undisclosed Desires,Muse,The Resistance,12Chz98pHFMPJEknJQMWvI,68,235000,False,0.683,0.585,8,-6.76,1,0.0323,0.00819,0.0162,0.0797,0.641,115.997,4
10,3FsqOTQT3d7c296eStnEnl,Lean Beef Patty,Muse,SCARING THE HOES,12Chz98pHFMPJEknJQMWvI,66,107586,True,0.487,0.964,4,-1.582,0,0.404,0.169,0,0.338,0.738,157.08,4
11,1waqS2zPI3Z1zTvJOa2hVC,SCARING THE HOES,Danny Brown,SCARING THE HOES,7aA592KWirLsnfb5ulGWvU,64,142825,True,0.552,0.996,7,2.343,1,0.103,0.244,2.8e-06,0.362,0.689,133.058,4
12,5IZpEuLMO5lEmN1Rr008p8,Burfict!,Danny Brown,SCARING THE HOES,7aA592KWirLsnfb5ulGWvU,66,141089,True,0.592,0.976,4,2.383,1,0.378,0.134,0,0.122,0.749,137.864,4
13,0VA5FzFlysCcSG1IdOkhUb,Kingdom Hearts Key (ft. redveil),Danny Brown,SCARING THE HOES,7aA592KWirLsnfb5ulGWvU,66,205320,True,0.343,0.946,6,-1.383,1,0.183,0.0722,0,0.321,0.357,135.647,4
14,0LLKhrm54tp36K2MbgBfAA,Steppa Pig,Danny Brown,SCARING THE HOES,7aA592KWirLsnfb5ulGWvU,64,207878,True,0.663,0.952,5,0.224,0,0.325,0.225,0,0.104,0.839,148.998,4
15,4pfhCrRk6P2tMU2D0Mb2z5,Fentanyl Tester,Danny Brown,SCARING THE HOES,7aA592KWirLsnfb5ulGWvU,64,157642,True,0.721,0.963,0,0.551,1,0.377,0.318,0,0.917,0.868,158.563,4
