,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,73ZTWCuwudUVvvWipRnQnQ,Family Tradition,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",Family Tradition,2dyeCWctcFRt3Pha76ONgb,70,242960,False,0.66,0.523,4,-12.068,1,0.0608,0.0238,0,0.142,0.794,126.342,4
1,77dcKrzRUI02XjHd2okARp,A Country Boy Can Survive,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",The Pressure Is On,2dyeCWctcFRt3Pha76ONgb,69,255000,False,0.688,0.459,7,-9.353,1,0.0365,0.144,0,0.0816,0.493,75.184,4
2,0SW6NfA6MTCC6OWNt6SAkV,Dinosaur,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",Habits Old And New,2dyeCWctcFRt3Pha76ONgb,68,199666,False,0.614,0.381,4,-14.628,1,0.0441,0.244,4.12e-05,0.0917,0.504,145.056,4
3,5TWhLgjy8cgb6CRPnnlnn2,Whiskey Bent And Hell Bound,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",Whiskey Bent And Hell Bound,2dyeCWctcFRt3Pha76ONgb,66,188386,False,0.726,0.711,7,-7.728,1,0.0414,0.213,1.41e-06,0.326,0.708,105.034,4
4,0XqB5gOpCdI9vV3MhKQyyX,Weatherman,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",The Pressure Is On,2dyeCWctcFRt3Pha76ONgb,63,219733,False,0.7,0.386,9,-15.559,1,0.0311,0.152,0.000474,0.0878,0.363,118.637,4
5,2VV9KHwOfrS7ZOEzPZJFLJ,If Heaven Ain't A Lot Like Dixie,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",High Notes,2dyeCWctcFRt3Pha76ONgb,62,164600,False,0.729,0.553,5,-8.983,1,0.085,0.266,0,0.0809,0.935,78.085,4
6,7h7XMOl4r8WzehsUlHyuO1,All My Rowdy Friends Are Coming Over Tonight,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",Major Moves,2dyeCWctcFRt3Pha76ONgb,59,178840,False,0.607,0.904,2,-7.693,1,0.0435,0.13,0,0.134,0.877,146.831,4
7,2F5lTjxNzxoVP0jRxLSN9Z,All My Rowdy Friends (Have Settled Down),"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",The Pressure Is On,2dyeCWctcFRt3Pha76ONgb,59,240373,False,0.711,0.542,0,-10.319,1,0.0287,0.23,5.2e-06,0.28,0.813,127.002,4
8,5kCsIDXG306DriJZ2gViLt,Outlaw Women,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",Whiskey Bent And Hell Bound,2dyeCWctcFRt3Pha76ONgb,61,182466,False,0.723,0.148,2,-19.922,1,0.0407,0.631,0.00419,0.115,0.204,129.097,4
9,7MJe06aTq57id8qtb1s2du,O.D.'d In Denver,"Hank Williams, Jr.","['country', 'country rock', 'outlaw country']",Whiskey Bent And Hell Bound,2dyeCWctcFRt3Pha76ONgb,60,160400,False,0.604,0.43,7,-13.575,1,0.032,0.0546,0,0.0977,0.644,68.257,4
10,3CIyK1V4JEJkg02E4EJnDl,Enemy (with JID) - from the series Arcane League of Legends,League of Legends,"['speedrun', 'video game music']",Mercury - Acts 1 & 2,47mIJdHORyRerp4os813jD,84,173381,False,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4
11,1FpVJ7HpZInE2GvhVE2TwT,Legends Never Die,League of Legends,"['speedrun', 'video game music']",Legends Never Die,47mIJdHORyRerp4os813jD,79,235000,False,0.498,0.598,4,-6.638,0,0.0377,0.00786,0,0.111,0.0573,140.078,4
12,5UlnuulVAVmmesw4VzqHdG,Enemy - From the series Arcane League of Legends,League of Legends,"['speedrun', 'video game music']",Enemy (from the series Arcane League of Legends),47mIJdHORyRerp4os813jD,78,173381,False,0.722,0.745,7,-4.164,1,0.256,0.247,0,0.419,0.52,77.029,4
13,69Sy7207dnixZ6w7RSV9Kb,RISE,League of Legends,"['speedrun', 'video game music']",RISE,47mIJdHORyRerp4os813jD,74,192881,False,0.459,0.663,8,-5.939,0,0.1,0.0169,0,0.0621,0.412,176.791,4
14,3f4fc8c8unrQeKecmUPEDR,Warriors,League of Legends,"['speedrun', 'video game music']",Warriors,47mIJdHORyRerp4os813jD,72,204586,False,0.14,0.478,1,-10.145,0,0.0484,0.1,0.000112,0.105,0.0412,185.121,3
15,6zAiRKvAMlXHxEtyO4yxIO,Phoenix,League of Legends,"['speedrun', 'video game music']",Phoenix,47mIJdHORyRerp4os813jD,70,197633,False,0.42,0.723,10,-6.86,0,0.175,0.0638,1.17e-05,0.123,0.288,167.806,4
16,66YtIqT0kN4958EXnCnAmE,Legends Never Die - (Remix),League of Legends,"['speedrun', 'video game music']",Legends Never Die (Remix),47mIJdHORyRerp4os813jD,70,167173,False,0.404,0.81,9,-4.033,0,0.189,0.164,0,0.504,0.34,154.918,4
17,5f2zZawBtGBEw24ABweErz,Playground (from the series Arcane League of Legends),League of Legends,"['speedrun', 'video game music']",Playground (from the series Arcane League of Legends),47mIJdHORyRerp4os813jD,66,230525,False,0.514,0.703,8,-6.859,1,0.0298,0.0107,7.62e-05,0.13,0.356,157.399,4
18,3WBRfkOozHEsG0hbrBzwlm,Everything Goes On,League of Legends,"['speedrun', 'video game music']",Everything Goes On,47mIJdHORyRerp4os813jD,69,202821,False,0.55,0.648,7,-6.542,1,0.0309,0.0191,0,0.0999,0.323,156.957,4
19,0ked784BOZ1JtRVHux98jE,Burn It All Down,League of Legends,"['speedrun', 'video game music']",Burn It All Down,47mIJdHORyRerp4os813jD,68,201840,False,0.553,0.694,9,-6.561,0,0.0603,0.000629,4.56e-06,0.121,0.231,145.149,4
20,2L9N0zZnd37dwF0clgxMGI,ceilings,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",five seconds flat,1GmsPCcpKgF9OhlNXjOsbS,90,182887,False,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3
21,4WjxtORnwPavm5PDsAWJEc,doomsday,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",five seconds flat,1GmsPCcpKgF9OhlNXjOsbS,70,268432,False,0.404,0.268,1,-9.631,1,0.0341,0.583,0,0.102,0.124,134.587,3
22,26MJjeJ0NSOQDKeZzrEFMl,hate to be lame,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",five seconds flat,1GmsPCcpKgF9OhlNXjOsbS,69,156798,False,0.522,0.251,10,-12.626,0,0.0603,0.871,0.000258,0.0769,0.303,137.366,3
23,5GpEHUNI0T7L7H3DnAaBXh,reckless driving,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",five seconds flat,1GmsPCcpKgF9OhlNXjOsbS,68,189247,False,0.532,0.39,0,-10.495,1,0.234,0.684,0,0.184,0.431,199.956,4
24,1WThEmIxSyaqG6fVsyCmcL,Pancakes for Dinner,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",Give Me A Minute,1GmsPCcpKgF9OhlNXjOsbS,67,235035,False,0.753,0.266,11,-11.453,1,0.0478,0.759,0,0.11,0.321,142.026,4
25,46BHP7nFOrGQPLW8mCxzZr,all my ghosts,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",five seconds flat,1GmsPCcpKgF9OhlNXjOsbS,65,197032,True,0.638,0.293,3,-11.703,1,0.0478,0.342,0.000624,0.448,0.488,155.083,4
26,4jLxibvYRtzEAiTDvbL9fO,To the Mountains,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",Give Me A Minute,1GmsPCcpKgF9OhlNXjOsbS,65,193800,False,0.461,0.147,4,-14.022,1,0.033,0.918,0.000638,0.0846,0.267,78.809,1
27,5L3FlmnCvJY2SN2jzvUwxL,Means Something,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",Give Me A Minute,1GmsPCcpKgF9OhlNXjOsbS,65,144631,False,0.429,0.2,8,-14.629,1,0.0512,0.825,1.7e-06,0.367,0.357,95.319,4
28,4R2DDseYW2tsmMhvdQQ2Po,erase me,Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",five seconds flat,1GmsPCcpKgF9OhlNXjOsbS,62,214468,False,0.415,0.45,6,-8.529,0,0.0599,0.578,2.82e-05,0.155,0.305,93.17,4
